Period Code,Cycle ID,B_2,B_3,B_4,B_5,B_9,B_10,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,timestamp,Good/Bad
1,1,-0.0007,-0.0004,100,518.67,14.62,21.61,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100,39.06,23.419,03/01/2020 00:00,0
1,3,-0.0043,0.0003,100,518.67,14.62,21.61,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100,38.95,23.3442,03/01/2020 00:10,0
1,4,0.0007,0,100,518.67,14.62,21.61,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100,38.88,23.3739,03/01/2020 00:15,0
1,5,-0.0019,-0.0002,100,518.67,14.62,21.61,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100,38.9,23.4044,03/01/2020 00:20,0
1,6,-0.0043,-0.0001,100,518.67,14.62,21.61,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100,38.98,23.3669,03/01/2020 00:25,0
1,9,0.0008,0.0001,100,518.67,14.62,21.61,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100,39.05,23.4066,03/01/2020 00:40,0
1,11,0.0018,-0.0003,100,518.67,14.62,21.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100,38.94,23.4787,03/01/2020 00:50,0
1,13,-0.0019,0.0004,100,518.67,14.62,21.61,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100,38.93,23.2757,03/01/2020 01:00,0
1,15,-0.0018,-0.0003,I/O,518.67,14.62,21.61,1.3,47.3,start,2388.08,8127.56,8.4199,0.03,Missing,2388,100,38.99,23.35,03/01/2020 01:10,0
1,16,0.0006,0.0005,100,518.67,14.62,21.61,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100,38.97,23.455,03/01/2020 01:15,0
1,18,-0.0031,-0.0001,100,518.67,14.62,21.61,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100,38.89,23.3987,03/01/2020 01:25,0
1,19,0.0032,-0.0003,100,518.67,14.62,21.61,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100,38.8,23.3464,03/01/2020 01:30,0
1,24,-0.001,0.0003,100,518.67,14.62,21.61,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100,39,23.3696,03/01/2020 01:55,0
1,27,-0.0012,-0.0004,100,518.67,14.62,21.61,1.3,47.37,522,2388.13,8134.6,8.4046,0.03,393,2388,100,38.99,23.4472,03/01/2020 02:10,0
1,28,-0.0024,0.0005,100,518.67,14.62,21.61,1.3,47.41,522.57,2388.08,8127.3,8.4323,0.03,390,2388,100,39.01,23.2841,03/01/2020 02:15,0
1,29,0.0012,-0.0001,100,518.67,14.62,21.61,1.3,47.24,522.41,2388.06,8133.06,8.4189,0.03,393,2388,100,38.93,23.3597,03/01/2020 02:20,0
1,30,-0.0022,0,100,518.67,14.62,21.61,1.3,47.4,522.19,2388,8137.86,8.4065,0.03,390,2388,100,39.05,no connection,03/01/2020 02:25,0
1,31,0.0014,0.0005,100,518.67,14.62,21.61,1.3,47.41,521.95,2388.06,8125.28,8.4104,0.03,392,2388,100,38.94,23.3353,03/01/2020 02:30,0
1,32,start,-0.0003,100,518.67,14.62,21.61,1.3,47.25,521.92,2388.07,8129.7,8.4148,0.03,392,2388,100,39.02,23.4999,03/01/2020 02:35,0
1,33,-0.0042,-0.0004,100,518.67,14.62,21.61,1.3,47.28,521.91,2388.08,8134.42,8.3753,0.03,392,2388,100,38.83,23.3506,03/01/2020 02:40,0
